,제목,분류
59,교환접수가 정상 처리되었다는 문자를 받았는데 교환상품이 왜 배송안되고 있는거죠?,상품관련
60,쥬얼리는 교환/반품이 어렵나요?,상품관련
61,가상계좌가 뭔가요?,주문
62,주문자와 다르게 입금을 했는데 어떻게 하나요?,주문
63,카드결제후 취소를 했는데 청구서가 왔어요!,주문
64,현금영수증은 발급되나요?,주문
65,무통장계좌번호는 어떻게 되나요?,주문
66,입금확인은 언제되나요?,주문
67,입금을했는데 입금확인이 되질 않아요,주문
68,에스크로제도란 무엇인가요?,주문
69,배송메세지가 뭔가요 ?,주문
70,주문을 했는데 입금이 안되요?,주문
71,입금확인 되었는지  확인해보고 싶어요~,주문
72,주문을 여러번 나눠하고  입금은 한번에 했어요.,주문
73,결제시 적립금(마일리지) 사용하였는데 주문 취소할 경우 어떻게 되나요?,주문
74,카드취소했는데 카드사에서는 취소가 되지 않았어요,주문
75,적립금으로 구매시 구매금액의 적립금이 적용되나요?,주문
76,입금은행명과 입금자명을 변경하고 싶은데 이미 주문서 작성후에는  변경이 불가한가요?,주문
77,금액 상관없이 할부가 가능한가요?,주문
78,결제시 자꾸 오류가 나서 결제가 되지 않아요,주문
79,신용카드 취소 반영기간,주문
80,상품을 하나 더 추가 주문 하는데 취소하고 다시 결제해야하나요,주문
81,결제방법을 변경하고 싶어요,주문
82,실시간 계좌이체로 주문했는데 금액이 이체되지 않았어요  왜 그런가요,주문
83,입금을 했는데 주문서가 사라졌어요,주문
84,주문 후 배송기간은 얼마나 걸리나요?,주문
85,비회원도 주문 가능 한가요?,주문
86,방문해서 구매 가능 한가요?,주문
87,상품을 주문하려면 어떻게 해야 하나요?,주문
88,실시간 구매에서 주문가능이란 어떤거죠?,주문
89,주문후 주문번호가 오지 않았어요 어떻게 해야 하나요?,주문
90,전화주문은 불가능 한가요?,주문
91,여러가지 상품을 함께 주문하려고 합니다. 어떻게 구매를 해야 할까요?,주문
92,구매당시에 품절이 아니었는데 품절됐다는 연락왔어요!,주문
93,세일상품 품절관련,주문
94,주문하고 결제까지 했는데 왜 품절이 되죠?,주문
95,상품을 아직 못받았는데 수령을 눌렀어요.괜찮을까요?,주문
96,실시간 구매에서 주문가능이란 어떤거죠?,주문
97,배송되었다고 문자를 받았는데 송장 추적이 되지 않습니다. 배송된게 확실한가요?,배송
98,배송 지연인데 주문한 여러상품중 한 상품을 먼저 받을 수는 없나요?,배송
99,주문한 여러상품중 한 상품을 먼저 받을 수는 없나요?,배송
100,오늘출발에 대해서 알고 싶은데요?,배송
101,오늘출발 상품인데 왜 당일 출고가 안되나요?,배송
102,정확한 배송일이 궁금해요?,배송
103,이미주문했어요 다른옷도 주문 또하려는데 배송비는 어찌해야하죠? ,배송
104,아직 배송되지 않았다면 변경(색상 사이즈 주소)해주세요 / 주문을 취소해 주세요,배송
105,배송이 되었다는 문자를 받았는데 배송조회가 되질 않아요,배송
106,배송완료로 확인되는데 택배를 못받았어요,배송
107,추가주문으로 발생된 배송비는 이전 주문건과 묶음으로 배송이 가능한가요?,배송
108,교환 반품 주소지를 알고 싶어요,배송
109,해외배송으로 수령한 상품을 반품/교환하고 싶습니다.어떻게 해야하나요?,배송
110,새벽도착은 어떤 배송인가요?,배송
111,오늘도착은 어떤 배송인가요?,배송
112,배송되었다고 문자를 받았는데 송장 추적이 되지 않습니다. 배송된게 확실한가요?,배송
113,배송 지연인데 주문한 여러상품중 한 상품을 먼저 받을 수는 없나요?,배송
114,주문한 여러상품중 한 상품을 먼저 받을 수는 없나요?,배송
115,오늘출발에 대해서 알고 싶은데요?,배송
116,오늘출발 상품인데 왜 당일 출고가 안되나요?,배송
117,정확한 배송일이 궁금해요?,배송
118,이미주문했어요 다른옷도 주문 또하려는데 배송비는 어찌해야하죠? ,배송
119,아직 배송되지 않았다면 변경(색상 사이즈 주소)해주세요 / 주문을 취소해 주세요,배송
120,배송이 되었다는 문자를 받았는데 배송조회가 되질 않아요,배송
121,배송완료로 확인되는데 택배를 못받았어요,배송
122,추가주문으로 발생된 배송비는 이전 주문건과 묶음으로 배송이 가능한가요?,배송
123,교환 반품 주소지를 알고 싶어요,배송
124,해외배송으로 수령한 상품을 반품/교환하고 싶습니다.어떻게 해야하나요?,배송
125,새벽도착은 어떤 배송인가요?,배송
126,오늘도착은 어떤 배송인가요?,배송
127,I가입/인증I 회원 가입은 어떻게 하나요?,회원
128,I로그인/정보I 회원 정보 수정은 어디서 하나요,회원
129,I탈퇴/기타I 비회원으로 구매를 하려고 하는데 주의해야 할 점이 있나요,회원
130,I탈퇴/기타I 회원 탈퇴는 어떻게 하나요?,회원
131,I탈퇴/기타I 회원 탈퇴를 취소하고 싶습니다.,회원
132,I혜택I 생일 쿠폰은 언제 발급되나요?,회원
133,I가입/인증I 휴대폰 번호 인증 시 이미 존재하는 휴대폰이라고 뜰 때는 어떻게 해야 하나요?,회원
134,I로그인/정보I 아이디 및 비밀번호를 변경할 수 있나요,회원
135,휴면 회원은 무엇인가요?,회원
136,I탈퇴/기타I 휴면 회원 전환 예정 메일을 받았어요.,회원
137,I로그인/정보I 아이디와 비밀번호가 기억나지 않아요.,회원
138,I가입/인증I 본인인증은 어떻게 하나요?,회원
139,I가입/인증I 문자가 오지 않아요.,회원
140,I가입/인증I 잘못했는데 초기화 가능한가요,회원
141,I가입/인증I 안되는 경우 상품은 구매 할 수 있나요?,회원
142,I로그인/정보I 소셜 로그인은 어떻게 이용하나요?,회원
143,I로그인/정보I 애플(Apple) 로그인 및 애플(Apple) 계정 연동이 안 됩니다.,회원
144,I로그인/정보I 소셜 로그인(카카오  Apple) 연동을 해제하고 싶어요. 어떻게 하면 되나요?,회원
145,I취소/반품(환불)I 상품을 받았는데 환불하고 싶어요.,상품관련
146,I취소/반품(환불)I 교환(환불)이 어려운 경우가 있나요?,상품관련
147,I취소/반품(환불)I 상품은 보냈는데 언제 환불 되나요?,상품관련
148,I취소/반품(환불)I 주문을 취소(옵션변경)를 하고 싶어요.,상품관련
149,I취소/반품(환불)I 실제 카드 취소나 금액은 언제 입금되나요?,상품관련
150,I취소/반품(환불)I 비용은 무료인가요?,상품관련
151,I취소/반품(환불)I 무탠 픽업 주문 후 환불 될 예정이라는 안내를 받았어요.,상품관련
152,I취소/반품(환불)I 부티크 보안실 제거 했는데 교환/환불 가능한가요?,상품관련
153,I취소/반품(환불)I 반품접수는 어떻게 하나요?,상품관련
154,I취소/반품(환불)I 반송장 입력  수정은 어떻게 하나요?,상품관련
155,I취소/반품(환불)I 무탠픽업 주문건을 취소(환불/교환) 하고 싶어요.,상품관련
156,I교환/반품I 상품을 받았는데 교환하고 싶어요.,상품관련
157,I취소/반품(환불)I 교환(환불)이 어려운 경우가 있나요?,상품관련
158,I교환/반품I 상품은 보냈는데 언제 상품 배송 되나요?,상품관련
159,I교환/반품I 같은 브랜드 다른 상품으로 교환 가능 한가요?,상품관련
160,I취소/반품(환불)I 부티크 보안실 제거 했는데 교환/환불 가능한가요?,상품관련
161,I취소/반품(환불)I 반품접수는 어떻게 하나요?,상품관련
162,I취소/반품(환불)I 반송장 입력  수정은 어떻게 하나요?,상품관련
163,I취소/반품(환불)I 비용은 무료인가요?,상품관련
164,I취소/반품(환불)I 무탠픽업 주문건을 취소(환불/교환) 하고 싶어요.,상품관련
165,재고가 없어요. 언제쯤 구입할 수 있을까요?,상품관련
166,가격이 떨어져 예전에 구매했을 때 보다 싸게 팔고 있는 경우 차액 환불이 되나요?,상품관련
167,사진과 제품의 실제 색상이 다른 것 같아요.,상품관련
168,무신사 스토어의 상품들은 모두 정품인가요?,상품관련
169,정식 수입상품과 병행수입상품은 무슨 차이인가요?,상품관련
170,무신사 스페셜숍 상품들은 어떤 상품들인가요?,상품관련
171,상품 문의는 어떻게 작성하나요?,상품관련
172,무신사는 디자인 도용 / 라벨 교체 상품에 어떻게 대응하나요?,상품관련
173,작성 후 수정  삭제할 수 있나요?,상품관련
174,반품 주소지가 어떻게 되나요?,상품관련
175,복합결제가 가능한가요?,주문
176,인터넷 안전 결제(ISP) 가 무엇입니까?,주문
177,안심클릭은 무엇인가요?,주문
178,I혜택I 회원 등급에 따라 어떤 혜택을 받을 수 있나요?,주문
179,가상계좌 주문이 제한 되었어요.,주문
180,휴대폰 소액결제에 대하여 알려주세요.,주문
181,주문 결제 시 현금영수증 요청을 하지 않았습니다. 따로 신청  가능한가요?,주문
182,[TOSS] 현금영수증 발급은 어떻게 하나요?,주문
183,[TOSS] 등록한 계좌에 잔액이 있는데 이체가 안돼요.,주문
184,[TOSS] 토스 결제는 어떻게 진행되나요?,주문
185,[TOSS] 결제 한도가 어떻게 되나요?,주문
186,가상계좌 입금 시 주문자와 입금자명이 동일해야 하나요?,주문
187,가상계좌는 어떻게 입금해야 하나요?,주문
188,가상계좌로 주문을 나눠서 했는데 한번에 입금할 수 있나요?,주문
189,주소 검색이 안돼요.,주문
190,주소지 건물명이 변경되었어요.,주문
191,주문 시 선택한 사은품을 확인할 수 있나요?,주문
192,해외 카드로 결제 가능한가요?,주문
193,카드 및 현금 영수증  거래 명세서는 어디에서 조회할 수 있나요?,주문
194,교환(환불) 신청 시 꼭 반품 배송비를 결제해야 하나요?,주문
195,[카카오페이] 현금영수증 발행 번호를 변경하고 싶어요.,주문
196,[카카오페이] 현금영수증 발행 여부를 알고 싶어요.,주문
197,[카카오페이] 현금영수증 발행 신청은 어떻게 하나요?,주문
198,결제 방법을 변경하고 싶어요.,주문
199,[무신사페이] 무신사페이가 무엇인가요?,주문
200,[무신사페이] 무신사페이는 어디에서 등록하나요?,주문
201,[무신사페이] 카드 입력 정보 중 CVC는 무엇을 적어야 하나요?,주문
202,[무신사페이] 카드를 여러 개 등록했을 때 우선 사용 카드를 설정할 수 있나요?,주문
203,[무신사페이] 카드는 몇 개까지 등록할 수 있나요?,주문
204,[무신사페이] 결제 비밀번호를 잊어버렸어요.,주문
205,[무신사페이] 무신사페이 이용 해지는 어떻게 하나요?,주문
206,[무신사페이] 카드 등록 시 지원되지 않는 결제 수단이라고 뜹니다.,주문
207,[무신사페이] 등록한 카드를 분실했어요. 무신사페이를 계속 사용할 수 있나요?,주문
208,결제 증빙 서류(거래명세서  카드전표 등)는 어떻게 확인할 수 있나요?,주문
209,주문 후 입금이 많이 늦었어요.,주문
210,결제한 주문을 취소하고 싶어요.,주문
211,주문이 자동 취소 되어있어요.,주문
212,동일상품을 반복적으로 주문 후 취소하는 경우 스토어 이용이 제한 될 수 있습니다.,주문
213,I배송 일반I 언제 배송 되나요?,배송
214,I기타I 주문한 상품이 일부만 도착했어요.,배송
215,I주문제작 배송I 언제 배송 되나요?,배송
216,I기타I 택배사 연락처를 알고 싶어요.,배송
217,I기타I 배송완료로 나오는데 아직 상품을 받지 못했어요.,배송
218,I기타I 배송 사고(파손 상품&구성품 누락  분실)는 어떻게 처리 해야 하나요?,배송
219,I배송 일반I 배송 조회는 어떻게 하나요?,배송
220,I부티크 배송I 모두 새벽 배송 가능한가요?,배송
221,I예약 배송I 언제 배송 되나요?,배송
222,I부티크 배송I 새벽 배송 시 유의해야 할 사항이 있나요?,배송
223,I무탠 픽업I 어떻게 받을 수 있나요?,배송
224,I배송 일반I 고객 보상 지원제도 가 어떤건가요?,배송
225,I배송 일반I 자주 사용하는 배송지와 날짜를 등록할 수 있나요?,배송
226,I기타I 송장 흐름 확인이 안되고 있어요.,배송
227,복합결제가 가능한가요?,주문
228,인터넷 안전 결제(ISP) 가 무엇입니까?,주문
229,안심클릭은 무엇인가요?,주문
230,I혜택I 회원 등급에 따라 어떤 혜택을 받을 수 있나요?,주문
231,가상계좌 주문이 제한 되었어요.,주문
232,휴대폰 소액결제에 대하여 알려주세요.,주문
233,주문 결제 시 현금영수증 요청을 하지 않았습니다. 따로 신청  가능한가요?,주문
234,[TOSS] 현금영수증 발급은 어떻게 하나요?,주문
235,[TOSS] 등록한 계좌에 잔액이 있는데 이체가 안돼요.,주문
236,[TOSS] 토스 결제는 어떻게 진행되나요?,주문
237,[TOSS] 결제 한도가 어떻게 되나요?,주문
238,가상계좌 입금 시 주문자와 입금자명이 동일해야 하나요?,주문
239,가상계좌는 어떻게 입금해야 하나요?,주문
240,가상계좌로 주문을 나눠서 했는데 한번에 입금할 수 있나요?,주문
241,주소 검색이 안돼요.,주문
242,주소지 건물명이 변경되었어요.,주문
243,주문 시 선택한 사은품을 확인할 수 있나요?,주문
244,해외 카드로 결제 가능한가요?,주문
245,카드 및 현금 영수증  거래 명세서는 어디에서 조회할 수 있나요?,주문
246,교환(환불) 신청 시 꼭 반품 배송비를 결제해야 하나요?,주문
247,[카카오페이] 현금영수증 발행 번호를 변경하고 싶어요.,주문
248,[카카오페이] 현금영수증 발행 여부를 알고 싶어요.,주문
249,[카카오페이] 현금영수증 발행 신청은 어떻게 하나요?,주문
250,결제 방법을 변경하고 싶어요.,주문
251,[무신사페이] 무신사페이가 무엇인가요?,주문
252,[무신사페이] 무신사페이는 어디에서 등록하나요?,주문
253,[무신사페이] 카드 입력 정보 중 CVC는 무엇을 적어야 하나요?,주문
254,[무신사페이] 카드를 여러 개 등록했을 때 우선 사용 카드를 설정할 수 있나요?,주문
255,[무신사페이] 카드는 몇 개까지 등록할 수 있나요?,주문
256,[무신사페이] 결제 비밀번호를 잊어버렸어요.,주문
257,[무신사페이] 무신사페이 이용 해지는 어떻게 하나요?,주문
258,[무신사페이] 카드 등록 시 지원되지 않는 결제 수단이라고 뜹니다.,주문
259,[무신사페이] 등록한 카드를 분실했어요. 무신사페이를 계속 사용할 수 있나요?,주문
260,결제 증빙 서류(거래명세서  카드전표 등)는 어떻게 확인할 수 있나요?,주문
261,구매한 상품을 교환/반품 하고 싶습니다  어떻게 접수 하나요?,상품관련
262,반품 택배비는 얼마인가요?? ,상품관련
263,교환/반품시 상품을 어디로 보내나요?,상품관련
264,교환 택배비는 얼마인가요?? ,상품관련
265,반품이 불가능한 경우는요?,상품관련
266,교환상품 받는데 얼마나 걸릴까요?,상품관련
267,맞교환 가능하나요?,상품관련
268,구매시 받은 사은품은 어떻게 되나요?,상품관련
269,품절된 제품은 재입고가 안되나요?,상품관련
270,동일상품을 여러색상을 구매하려는데 어떻게 해야 할까요? ,상품관련
271,발볼 넓힘이나 굽조절 가능한가요?,상품관련
272,주문 가능해서 구매했는데 품절이라고 하네요. 이유가 뭔가요?,상품관련
273,결제방법 알려주세요!,주문
274,입금을 했지만  미결제로 확인됩니다.,주문
275,주문취소했는데 카드는 언제 취소되나요?,주문
276,결제방법 알려주세요!,주문
277,입금을 했지만  미결제로 확인됩니다.,주문
278,주문취소했는데 카드는 언제 취소되나요?,주문
279,주소지 변경은 어떻게 하나요?,배송
280,배송 준비중인데 취소가능한가요?,배송
281,배송 지연이 왜 되는지?,배송
282,배송 지연은 몇일이 걸리는 건가요?,배송
283,회원가입하면 혜택이 있나요?,회원
284,비회원도 구매할 수 있나요?,회원
285,아이디와 패스워드를 잊어버렸어요!,회원
286,주소와 전화번호등 개인정보 변경은 어떻게 해요?,회원
287,회원 탈퇴는 어떻게 하나요?,회원
